Temperatura,Umidade Relativa do Ar %,Temperatura de Orvalho,Numero de Luminuosidade
17,83,14,496
17,82,14,496
17,83,14,498
17,82,14,500
17,83,14,499
17,83,14,450
17,82,14,500
17,82,14,500
17,82,14,501
17,82,14,502
17,82,14,482
17,82,14,506
17,82,14,506
17,82,14,508
17,82,14,509
17,82,14,508
17,82,14,509
17,81,14,509
17,81,14,512
17,81,14,509
17,81,14,513
17,80,13,513
17,80,13,512
17,80,13,513
17,80,13,514
17,80,13,514
17,80,13,515
17,81,14,515
17,80,13,516
17,79,13,517
17,80,13,518
17,80,13,519
17,80,13,522
17,79,13,523
17,79,13,522
17,79,13,527
17,79,13,532
17,79,13,533
17,79,13,536
17,79,13,535
17,79,13,531
17,80,13,538
17,79,13,541
17,80,13,540
17,79,13,541
18,79,14,513
18,79,14,540
18,78,14,540
18,77,14,542
18,77,14,542
18,77,14,544
18,77,14,546
18,78,14,546
18,76,14,545
18,75,13,546
18,76,14,549
18,76,14,553
18,75,13,552
18,76,14,552
18,76,14,552
18,75,13,552
18,75,13,516
18,75,13,557
18,75,13,560
18,76,14,563
18,76,14,566
18,76,14,568
18,76,14,572
18,76,14,574
18,76,14,565
18,75,13,522
19,74,14,555
19,74,14,560
19,74,14,559
19,74,14,560
19,74,14,562
19,74,14,564
19,73,14,567
19,73,14,569
19,74,14,571
19,73,14,575
19,73,14,577
19,73,14,568
19,72,14,568
19,72,14,567
19,72,14,571
19,72,14,577
19,71,14,588
19,70,13,593
19,70,13,592
20,69,14,591
20,68,14,599
20,67,14,598
20,68,14,598
20,68,14,597
20,67,14,593
20,66,14,593
20,67,14,585
20,66,14,583
20,66,14,585
20,66,14,577
20,66,14,582
20,66,14,590
20,66,14,602
20,66,14,607
20,65,13,616
20,65,13,625
20,64,13,633
20,64,13,636
20,64,13,636
20,64,13,623
20,64,13,623
20,64,13,644
20,63,13,650
20,63,13,652
20,63,13,595
20,64,13,627
20,64,13,646
20,64,13,661
20,64,13,709
20,63,13,797
20,63,13,838
20,63,13,854
21,63,14,860
21,62,14,843
21,61,14,858
21,60,13,828
21,60,13,819
21,60,13,807
21,59,13,723
21,60,13,651
21,61,14,633
21,61,14,622
21,61,14,616
21,61,14,580
21,61,14,611
21,61,14,611
21,61,14,608
21,61,14,600
21,62,14,599
21,61,14,596
21,61,14,590
21,62,14,576
21,62,14,536
21,62,14,545
21,62,14,581
21,62,14,543
21,62,14,539
21,62,14,566
21,63,14,564
21,62,14,562
21,62,14,560
21,62,14,559
21,62,14,521
21,62,14,552
21,62,14,553
21,63,14,558
21,62,14,556
21,63,14,551
21,62,14,549
21,63,14,549
21,63,14,548
21,63,14,545
21,63,14,544
21,61,14,511
21,62,14,547
21,62,14,545
21,62,14,542
21,62,14,539
21,62,14,511
21,62,14,511
21,62,14,545
21,62,14,549
21,63,14,551
21,63,14,552
21,62,14,540
21,63,14,552
21,62,14,550
21,63,14,551
21,62,14,552
21,62,14,552
21,61,14,558
21,62,14,564
21,61,14,562
21,62,14,562
21,61,14,531
21,61,14,563
21,61,14,560
21,61,14,555
21,61,14,550
21,61,14,539
21,62,14,552
21,61,14,518
21,61,14,546
21,61,14,549
21,62,14,516
21,62,14,548
21,62,14,546
21,62,14,544
21,62,14,543
21,62,14,542
21,62,14,541
21,62,14,506
21,62,14,541
21,62,14,541
21,62,14,540
21,62,14,530
21,62,14,535
21,61,14,501
21,61,14,502
21,62,14,531
21,61,14,526
21,62,14,494
21,62,14,523
21,62,14,520
21,62,14,519
21,62,14,519
21,62,14,519
21,62,14,520
21,62,14,519
21,62,14,518
21,62,14,487
21,62,14,516
21,63,14,516
21,63,14,515
21,64,14,511
21,63,14,510
21,63,14,509
21,63,14,510
21,63,14,500
21,63,14,514
21,63,14,484
21,63,14,515
21,63,14,516
21,63,14,517
21,63,14,517
21,62,14,517
21,62,14,516
21,62,14,515
21,61,14,513
21,61,14,509
21,61,14,508
21,61,14,508
21,61,14,486
21,61,14,510
21,61,14,509
21,61,14,509
21,61,14,508
21,61,14,506
21,61,14,504
21,60,13,500
21,60,13,499
21,60,13,498
21,60,13,459
22,61,15,488
22,61,15,489
22,61,15,452
22,61,15,445
22,61,15,448
22,61,15,437
22,61,15,477
22,61,15,446
22,61,15,446
22,61,15,480
22,62,15,456
22,62,15,475
22,61,15,477
22,61,15,451
22,61,15,488
22,61,15,488
22,61,15,488
22,61,15,452
22,61,15,486
22,61,15,484
22,61,15,481
22,61,15,441
22,61,15,473
22,61,15,469
22,61,15,465
22,61,15,460
22,61,15,456
22,61,15,453
22,61,15,450
22,61,15,446
22,61,15,408
22,61,15,443
22,61,15,444
22,61,15,443
22,61,15,443
22,61,15,416
22,61,15,444
22,61,15,445
22,62,15,446
22,62,15,447
22,62,15,421
22,62,15,449
22,62,15,429
22,62,15,442
22,62,15,453
22,62,15,453
22,62,15,454
22,62,15,454
22,62,15,453
22,62,15,451
22,62,15,411
22,62,15,446
22,62,15,445
22,62,15,410
22,63,15,442
22,63,15,440
22,62,15,436
22,63,15,400
22,62,15,429
22,63,15,401
22,63,15,427
22,63,15,425
22,63,15,423
22,63,15,423
22,63,15,423
22,63,15,422
22,62,15,419
22,63,15,369
22,63,15,410
22,63,15,377
22,63,15,412
22,63,15,411
22,63,15,408
22,63,15,403
22,63,15,399
22,63,15,396
22,63,15,396
22,63,15,399
22,63,15,401
22,63,15,403
22,63,15,402
22,63,15,410
22,63,15,416
22,63,15,418
22,63,15,419
22,62,15,418
22,62,15,417
22,62,15,418
22,62,15,424
22,62,15,427
22,62,15,427
22,62,15,428
22,62,15,427
22,61,15,425
22,61,15,419
22,61,15,419
22,61,15,419
22,61,15,416
22,61,15,408
22,61,15,409
22,62,15,411
22,62,15,414
22,62,15,417
22,62,15,421
22,61,15,421
22,61,15,418
22,62,15,421
22,62,15,423
22,62,15,423
22,62,15,388
22,62,15,430
22,62,15,431
22,61,15,432
22,61,15,430
22,61,15,434
22,61,15,440
22,61,15,440
22,61,15,439
22,61,15,436
22,61,15,434
22,61,15,434
22,60,14,433
22,60,14,431
22,60,14,428
22,60,14,424
22,60,14,380
22,61,15,367
22,61,15,361
22,61,15,405
22,60,14,401
22,60,14,397
22,60,14,392
22,60,14,388
22,60,14,385
22,60,14,383
22,60,14,380
22,60,14,379
22,60,14,378
22,60,14,376
22,60,14,374
22,60,14,371
22,59,14,368
22,60,14,370
22,60,14,373
22,60,14,374
22,60,14,374
22,60,14,326
22,60,14,374
22,59,14,373
22,60,14,338
22,59,14,373
22,59,14,373
22,58,14,345
22,58,14,373
22,58,14,358
22,58,14,373
22,58,14,333
22,58,14,371
22,59,14,371
22,59,14,366
22,59,14,363
22,58,14,363
22,58,14,359
22,58,14,360
22,58,14,329
22,58,14,363
22,58,14,358
22,58,14,364
22,58,14,372
22,58,14,339
22,58,14,337
22,58,14,366
22,58,14,363
22,58,14,375
22,59,14,387
22,59,14,399
22,59,14,408
22,59,14,411
22,59,14,421
22,59,14,425
22,59,14,429
22,59,14,404
22,59,14,416
22,59,14,416
22,59,14,413
22,60,14,407
22,60,14,404
22,60,14,364
22,60,14,405
22,60,14,407
22,60,14,412
22,60,14,421
22,60,14,435
22,60,14,444
22,60,14,451
22,60,14,451
22,60,14,416
22,60,14,444
22,60,14,441
22,60,14,435
22,60,14,430
22,60,14,427
22,60,14,421
22,60,14,414
22,60,14,407
22,60,14,397
22,60,14,338
22,60,14,329
22,60,14,323
22,60,14,322
22,60,14,373
23,60,15,374
23,60,15,374
23,60,15,373
22,61,15,371
23,60,15,367
22,60,14,365
23,60,15,369
23,61,16,371
23,61,16,372
22,61,15,372
23,60,15,337
23,61,16,368
23,61,16,366
23,61,16,365
22,61,15,364
22,61,15,362
23,61,16,360
23,60,15,357
23,61,16,354
23,60,15,351
23,60,15,308
23,61,16,348
23,61,16,347
23,61,16,347
23,60,15,347
23,60,15,347
23,60,15,346
23,60,15,345
23,60,15,344
23,60,15,344
23,60,15,344
23,61,16,344
23,60,15,344
23,60,15,343
23,61,16,343
23,61,16,303
23,61,16,305
23,61,16,286
23,60,15,338
23,61,16,340
23,60,15,341
23,60,15,340
23,60,15,341
23,60,15,341
23,60,15,341
23,60,15,340
23,60,15,340
23,60,15,340
23,59,15,339
23,59,15,322
23,59,15,340
23,58,15,339
23,59,15,338
23,58,15,338
23,59,15,338
23,58,15,338
23,57,15,337
23,58,15,336
23,58,15,335
23,58,15,284
23,58,15,306
23,58,15,337
23,58,15,337
23,57,15,337
23,56,15,337
23,57,15,337
23,57,15,336
23,57,15,335
23,57,15,335
23,56,15,334
23,56,15,333
23,56,15,334
23,56,15,334
23,56,15,335
23,56,15,336
23,56,15,286
23,56,15,339
23,56,15,340
23,55,14,342
23,55,14,296
23,55,14,345
23,55,14,346
23,55,14,345
23,55,14,344
23,55,14,311
23,55,14,345
23,55,14,344
23,54,14,339
23,54,14,338
23,54,14,302
23,54,14,337
23,54,14,336
23,54,14,335
23,54,14,335
23,54,14,338
23,55,14,282
23,54,14,339
23,54,14,341
23,54,14,341
23,55,14,342
23,54,14,342
23,54,14,343
23,54,14,377
23,54,14,382
23,55,14,329
23,54,14,366
23,54,14,366
23,54,14,362
23,54,14,360
23,53,14,359
23,53,14,351
23,54,14,355
23,53,14,353
23,53,14,355
23,53,14,352
23,53,14,352
23,53,14,355
23,53,14,358
23,52,14,360
23,52,14,362
23,52,14,366
23,52,14,315
23,51,14,370
23,51,14,378
23,51,14,387
23,51,14,394
23,51,14,397
23,51,14,401
23,51,14,404
23,50,13,404
23,50,13,403
23,50,13,344
23,50,13,398
23,50,13,351
23,50,13,391
23,50,13,389
23,50,13,385
23,49,13,344
23,49,13,381
23,49,13,376
23,49,13,375
23,49,13,373
23,49,13,369
23,48,13,349
23,48,13,365
23,48,13,363
23,49,13,363
23,49,13,363
23,49,13,363
23,48,13,362
23,48,13,361
23,48,13,359
23,48,13,357
23,48,13,355
23,48,13,353
23,49,13,326
23,49,13,351
23,48,13,350
23,49,13,349
23,48,13,351
23,49,13,351
23,49,13,349
23,49,13,348
23,49,13,305
23,49,13,349
23,49,13,349
23,49,13,350
23,49,13,348
23,48,13,347
23,49,13,342
23,49,13,342
23,49,13,340
23,49,13,338
23,49,13,335
23,49,13,295
23,49,13,296
23,49,13,335
23,49,13,335
23,48,13,332
23,48,13,295
23,48,13,332
23,47,13,333
23,46,13,334
23,46,13,335
23,46,13,331
23,46,13,291
23,46,13,333
23,46,13,333
23,45,12,334
23,45,12,336
23,45,12,340
23,45,12,340
23,45,12,340
23,45,12,340
23,45,12,337
23,45,12,272
23,45,12,286
23,45,12,273
23,44,12,338
23,44,12,338
23,45,12,337
23,44,12,336
23,44,12,326
23,45,12,326
23,45,12,326
24,44,13,325
24,45,13,325
24,44,13,324
24,45,13,324
24,44,13,324
24,44,13,323
24,44,13,322
24,44,13,321
24,44,13,316
24,45,13,300
24,45,13,316
24,45,13,288
24,44,13,271
24,44,13,304
24,44,13,302
24,44,13,300
24,44,13,294
24,44,13,293
24,44,13,293
24,44,13,292
24,44,13,291
24,44,13,294
24,44,13,293
24,44,13,293
24,44,13,292
24,44,13,292
24,44,13,338
24,44,13,319
24,44,13,317
24,44,13,291
24,43,13,284
24,44,13,283
24,44,13,284
24,44,13,283
24,43,13,245
24,43,13,281
24,44,13,279
24,43,13,284
24,43,13,249
24,43,13,283
24,43,13,283
24,44,13,285
24,43,13,284
24,43,13,294
24,43,13,291
24,43,13,289
24,43,13,288
24,43,13,287
24,43,13,287
24,43,13,287
24,44,13,285
24,43,13,285
24,43,13,285
24,43,13,285
24,43,13,284
24,43,13,283
24,43,13,283
24,44,13,283
24,44,13,283
24,44,13,283
24,44,13,283
24,44,13,283
24,44,13,282
24,42,13,282
24,42,13,256
24,42,13,281
24,42,13,280
24,42,13,278
24,42,13,233
24,42,13,279
24,42,13,280
24,42,13,283
24,42,13,278
24,42,13,239
24,42,13,252
24,43,13,274
24,43,13,273
24,42,13,273
24,43,13,273
24,43,13,272
24,43,13,271
24,43,13,256
24,42,13,245
24,43,13,270
24,43,13,269
24,43,13,269
24,43,13,268
24,43,13,267
24,43,13,267
24,43,13,233
24,43,13,267
24,43,13,266
24,43,13,266
24,43,13,265
24,43,13,230
24,43,13,264
24,43,13,264
24,43,13,263
24,43,13,263
24,43,13,262
24,43,13,210
24,44,13,261
24,43,13,261
24,43,13,260
24,43,13,260
24,44,13,259
24,43,13,259
24,43,13,258
24,44,13,258
24,43,13,257
24,44,13,257
24,44,13,256
24,44,13,215
24,44,13,256
24,44,13,255
24,44,13,254
24,44,13,254
24,44,13,254
24,44,13,253
24,44,13,252
24,44,13,252
24,44,13,251
24,44,13,206
24,44,13,250
24,44,13,249
24,45,13,212
24,45,13,249
24,45,13,248
24,45,13,225
24,45,13,203
24,45,13,246
24,45,13,246
24,45,13,201
